id,status_name,description
553,Ready,the estimate is ready
438,Expired,estimate is expired
637,Ready,estimate is ready
715,Ready,estimate is ready
890,Ready,estimate is ready
993,Expired,estimate is expired
785,Updated,estimate is updated
508,Updated,estimate is updated
252,Pending,estimate is pending
464,Ready,estimate is ready
85,Ready,estimate is ready
96,Ready,estimate is ready
717,Updated,estimate is updated
484,Updated,estimate is updated
868,Ready,estimate is ready
823,Expired,estimate is expired
378,Ready,estimate is ready
795,Ready,estimate is ready
285,Ready,estimate is ready
339,Ready,estimate is ready
